ext_acc_ratio,ext_acc_ratio_NNI,ext_acc_ratio_SPR,ext_N_accepted_NNI,ext_N_accepted_SPR,ext_N_total_NNI,ext_N_total_SPR,int_acc_ratio,int_N_accepted,int_N_total,log_P
0.42857142857142855,0.5,0.0,3,0,6,1,1.0,18,18,-125.86688782050977
0.2857142857142857,0.16666666666666666,1.0,1,1,6,1,0.8333333333333334,15,18,-122.88376868955199
0.42857142857142855,0.5,0.0,3,0,6,1,0.8888888888888888,16,18,-120.96853777791537
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7777777777777778,14,18,-118.4320129525804
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8888888888888888,16,18,-115.63809566899272
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7777777777777778,14,18,-116.39854244815145
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-115.53064634322394
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7222222222222222,13,18,-114.24204889897605
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7222222222222222,13,18,-113.33088277536557
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7777777777777778,14,18,-111.47447682209904
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.8333333333333334,15,18,-114.13188080704741
0.0,0.0,0.0,0,0,6,1,0.8888888888888888,16,18,-114.67576845769754
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-116.7304134429103
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.9444444444444444,17,18,-116.64649803624039
0.42857142857142855,0.5,0.0,3,0,6,1,0.7777777777777778,14,18,-117.47998125191353
0.5714285714285714,0.5,1.0,3,1,6,1,0.7777777777777778,14,18,-119.73067766535574
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7222222222222222,13,18,-118.3734406002292
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.8888888888888888,16,18,-113.89462088287542
0.5714285714285714,0.6666666666666666,0.0,4,0,6,1,0.8888888888888888,16,18,-117.14421764601084
0.2857142857142857,0.16666666666666666,1.0,1,1,6,1,0.9444444444444444,17,18,-115.81575952638777
0.0,0.0,0.0,0,0,6,1,0.8888888888888888,16,18,-113.25561680051084
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.8888888888888888,16,18,-112.07941418608854
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.6111111111111112,11,18,-112.70155218188452
0.2857142857142857,0.16666666666666666,1.0,1,1,6,1,0.9444444444444444,17,18,-110.75097763313373
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,1.0,18,18,-115.58659590711322
0.14285714285714285,0.0,1.0,0,1,6,1,0.6666666666666666,12,18,-119.4728418782747
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-121.28139691100796
0.42857142857142855,0.3333333333333333,1.0,2,1,6,1,0.9444444444444444,17,18,-116.91948915740181
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7777777777777778,14,18,-117.06134434336859
0.42857142857142855,0.3333333333333333,1.0,2,1,6,1,0.7777777777777778,14,18,-113.1070724508005
0.0,0.0,0.0,0,0,6,1,0.8888888888888888,16,18,-110.65692642103642
0.14285714285714285,0.0,1.0,0,1,6,1,0.7777777777777778,14,18,-109.07173107125952
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.9444444444444444,17,18,-108.23372987786847
0.14285714285714285,0.0,1.0,0,1,6,1,0.8888888888888888,16,18,-109.00375396068858
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-109.89185480600521
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-110.66095800802248
0.14285714285714285,0.0,1.0,0,1,6,1,0.8333333333333334,15,18,-109.42686803514032
0.0,0.0,0.0,0,0,6,1,0.8888888888888888,16,18,-108.47040346061809
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.8888888888888888,16,18,-112.32612812577615
0.2857142857142857,0.16666666666666666,1.0,1,1,6,1,0.8333333333333334,15,18,-114.0731436244272
0.0,0.0,0.0,0,0,6,1,0.8333333333333334,15,18,-111.13769788040679
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8333333333333334,15,18,-111.76718852116865
0.0,0.0,0.0,0,0,6,1,1.0,18,18,-111.82523719497912
0.42857142857142855,0.5,0.0,3,0,6,1,0.7777777777777778,14,18,-112.09891493380255
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.9444444444444444,17,18,-108.97528772443391
0.14285714285714285,0.0,1.0,0,1,6,1,0.8888888888888888,16,18,-110.2120331706744
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.7222222222222222,13,18,-111.99138422987406
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.7222222222222222,13,18,-111.59905550587476
0.0,0.0,0.0,0,0,6,1,0.8333333333333334,15,18,-108.75994639480847
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.8333333333333334,15,18,-109.43136610439282
0.2857142857142857,0.3333333333333333,0.0,2,0,6,1,0.6666666666666666,12,18,-110.8452858639516
0.42857142857142855,0.3333333333333333,1.0,2,1,6,1,0.7222222222222222,13,18,-110.78081305749795
0.14285714285714285,0.16666666666666666,0.0,1,0,6,1,0.8888888888888888,16,18,-110.3525701763098
0.42857142857142855,0.5,0.0,3,0,6,1,0.8333333333333334,15,18,-109.8814356840598
